Tarih,Boy,Kilo,Beden,Yorum,Ürün Adı
20 Ağustos 2024,Boy: 170cm,Kilo: 96kg,Beden: 46,170 boyum 96 kg 46 beden aldım. Güzel elbise beğendim ancak kilom daha çok göbeğimde bu nedenle iyi durmadı. Üzülerek iade ediyorum.,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
06 Ağustos 2024,Boy: 168cm,Kilo: 105kg,Beden: 50,165 boy kilo 103 50 beden aldım güzel biraz kalın fiyatına göre güzel elbise kurtarici,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
04 Ağustos 2024,Boy: 150cm,Kilo: 85kg,Beden: 46,çok beğendim kumaşıda çok güzel duruşuda güzel ama ölçülere göre 48 beden çıkıyordu fakat büyük geldi 46 tekrar sipariş verdim aslında bununda hala üst kısmı büyüktü ama tekrar iade yapamadım,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
10 Temmuz 2024,Boy: 165cm,Kilo: 90kg,Beden: 44,96 kiloyum üst bedenim alt bedenime göre küçük yanı üst bedenim 42 ise alt bedenim 46 elbise yi 44 beden aldım müko oldu sıkmadı dar gelmedi çok rahat begendim,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
01 Temmuz 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 44,çok güzel kurtarıcı bir elbise tam yaz düğünleri için normalde 46 beden giyiyorum 44 aldım tam oldu,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
26 Haziran 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 48,güzel elbise bedeni tamla biraz sıkı arasında oldu bir üst bedenle değiştirmeyi düşündüm ama zam gelmiş hemen 🥲,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
14 Haziran 2024,Boy: 158cm,Kilo: 72kg,Beden: 42,"elbise kaliteli , dikişleri güzel . üzerinizde duruşu da hoş . ama kruvaze olduğu için biraz dekolte oluyor . onu da rahatsız olursaniz terzide halledebilirsiniz. rengi canlı . uçuş uçuş efil efil tam yazlık . astarlı bu arada o da güzel olmuş 😍 ayrıca bayrama yetiştirdiğiniz için çok teşekkür ederim. hızlı bir kargolama ile geldi . ❤️",Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
13 Haziran 2024,Boy: 168cm,Kilo: 60kg,Beden: 46,bayıldım harika duruyor efil efil tam yazlık çok hoş pişman olmazsınız.,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
11 Haziran 2024,Boy: 168cm,Kilo: 110kg,Beden: 48,Curve olmasa napardık bilmem :) nasıl güzel ve içinde nasıl mutluyum her zamanki gibi... 🩵🩵🩵🩵,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
10 Haziran 2024,Boy: 167cm,Kilo: 97kg,Beden: 44,Benim tam beden ölçümde oldu beli çok güzel oturdu. Bu tarz elbiseler genelde geniş gösterir. Omuzları kısa biriyim kol başlangıcı havada geldiği için omuzlarıda güzel gösterdi bir fönlede tüm yaz davetlerinde giyilir.,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
08 Haziran 2024,Boy: 178cm,Kilo: 105kg,Beden: 44,"Annem için aldım 1.65 80 kg ve aşşıırrıı güzel durdu üzerinde, kalitesini de çok beğendik. Tavsiye ederim.",Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
04 Haziran 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 48,Bayıldım çok kaliteli ve şık bir elbise . 124 kg 168 boy 48 beden aldım tam oldu . teşekkürler milla,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
21 Eylül 2024,Boy: 155cm,Kilo: 83kg,Beden: 44,Duruşu kumuşı çok güzel tam beden alabilirsiniz olduğunuzdan daha zayıf gösteriyor,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
15 Ağustos 2024,Boy: 170cm,Kilo: 90kg,Beden: 44,44 beden 1.70-89 kilo çok iri gösterdi,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
15 Ağustos 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 50,mavi beyaz renklerinden olusuyor sözde .sarı ve mavi renk ne alaka gercekten? gorsel paylasanlarin da bazilari sari mavi sqnki 30 yil dolapta beklemiste sararmis ayni o sekilde...,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
15 Ağustos 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 50,çok güzel bir elbise,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
13 Ağustos 2024,Boy: 153cm,Kilo: 86kg,Beden: 46,şifonu çok kalın basen ve omuz kısımlarını aşırı iri gösteriyor.Ve 45 yaşın altındaysanız asla almamanızı öneririm 20 yaşandayım üstüme giydiğim anda babanne gibi hissettim kendimi.Hemen iade ettim asla benlik değil,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
13 Ağustos 2024,Boy: 162cm,Kilo: 61kg,Beden: 46,Kalıp olarak geniş ve şişman gösteriyor iade edeceğim,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
03 Ağustos 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 50,Çok tatlı,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
23 Temmuz 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 52,Çok beğendim. Duruşu her şeyiyle çok güzel,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
11 Temmuz 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 42,Elbise cok güzel uçuş uçuş tam yazlık anneme aldık severek giyiyor,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
05 Temmuz 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 46,Elbise o kadar güzel ki kilo falan hiç bişey belli etmiyor kumaşı esnemiyor tam beden alınmalı.,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
30 Haziran 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 44,Bedeni küçük geldi normalde 2x giyiyorum ama bunda olmadı elbise güzel ama yandan gizli fermuarı varmış bilmeden giyince bozuldu malesef,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
24 Haziran 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 52,"Çok güzel uçuş uçuş, kilo kapatan özel günlerde tercih edilebilir",Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
24 Haziran 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 48,Gögüsten dar oldu,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
20 Haziran 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 48,çok şık kaliteli kumaşı,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
14 Haziran 2024,Boy: 170cm,Kilo: 85kg,Beden: 46,Kolları çok kaba şifonu kalın daha kilolu gösteriyor,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
12 Haziran 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 50,Yine bir kıvırcık hemşire önerisidir ve yine söylediği gibi muhteşem bir elbisedir tam beden alabilirsiniz bel kısmı lastikli çok güzel bir elbise uçuş uçuş♥️,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
10 Haziran 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 46,"çok güzel uçuş uçuş şifon elbise özellikle yaka ve kol detayı harika, tam beden alın ben bir beden büyük almışım iade edip bir beden küçük alacağım",Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
04 Haziran 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 42,Harikaa. Rengi görseldeki gibi. 168 boy 82 kg 42 beden tam oldu. Boyu da diz kapağından birkaç parmak aşağıda.,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
20 Ağustos 2024,Boy: 170cm,Kilo: 96kg,Beden: 46,170 boyum 96 kg 46 beden aldım. Güzel elbise beğendim ancak kilom daha çok göbeğimde bu nedenle iyi durmadı. Üzülerek iade ediyorum.,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
06 Ağustos 2024,Boy: 168cm,Kilo: 105kg,Beden: 50,165 boy kilo 103 50 beden aldım güzel biraz kalın fiyatına göre güzel elbise kurtarici,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
04 Ağustos 2024,Boy: 150cm,Kilo: 85kg,Beden: 46,çok beğendim kumaşıda çok güzel duruşuda güzel ama ölçülere göre 48 beden çıkıyordu fakat büyük geldi 46 tekrar sipariş verdim aslında bununda hala üst kısmı büyüktü ama tekrar iade yapamadım,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
10 Temmuz 2024,Boy: 165cm,Kilo: 90kg,Beden: 44,96 kiloyum üst bedenim alt bedenime göre küçük yanı üst bedenim 42 ise alt bedenim 46 elbise yi 44 beden aldım müko oldu sıkmadı dar gelmedi çok rahat begendim,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
01 Temmuz 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 44,çok güzel kurtarıcı bir elbise tam yaz düğünleri için normalde 46 beden giyiyorum 44 aldım tam oldu,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
26 Haziran 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 48,güzel elbise bedeni tamla biraz sıkı arasında oldu bir üst bedenle değiştirmeyi düşündüm ama zam gelmiş hemen 🥲,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
14 Haziran 2024,Boy: 158cm,Kilo: 72kg,Beden: 42,"elbise kaliteli , dikişleri güzel . üzerinizde duruşu da hoş . ama kruvaze olduğu için biraz dekolte oluyor . onu da rahatsız olursaniz terzide halledebilirsiniz. rengi canlı . uçuş uçuş efil efil tam yazlık . astarlı bu arada o da güzel olmuş 😍 ayrıca bayrama yetiştirdiğiniz için çok teşekkür ederim. hızlı bir kargolama ile geldi . ❤️",Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
13 Haziran 2024,Boy: 168cm,Kilo: 60kg,Beden: 46,bayıldım harika duruyor efil efil tam yazlık çok hoş pişman olmazsınız.,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
11 Haziran 2024,Boy: 168cm,Kilo: 110kg,Beden: 48,Curve olmasa napardık bilmem :) nasıl güzel ve içinde nasıl mutluyum her zamanki gibi... 🩵🩵🩵🩵,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
10 Haziran 2024,Boy: 167cm,Kilo: 97kg,Beden: 44,Benim tam beden ölçümde oldu beli çok güzel oturdu. Bu tarz elbiseler genelde geniş gösterir. Omuzları kısa biriyim kol başlangıcı havada geldiği için omuzlarıda güzel gösterdi bir fönlede tüm yaz davetlerinde giyilir.,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
08 Haziran 2024,Boy: 178cm,Kilo: 105kg,Beden: 44,"Annem için aldım 1.65 80 kg ve aşşıırrıı güzel durdu üzerinde, kalitesini de çok beğendik. Tavsiye ederim.",Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
04 Haziran 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 48,Bayıldım çok kaliteli ve şık bir elbise . 124 kg 168 boy 48 beden aldım tam oldu . teşekkürler milla,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
21 Eylül 2024,Boy: 155cm,Kilo: 83kg,Beden: 44,Duruşu kumuşı çok güzel tam beden alabilirsiniz olduğunuzdan daha zayıf gösteriyor,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
15 Ağustos 2024,Boy: 170cm,Kilo: 90kg,Beden: 44,44 beden 1.70-89 kilo çok iri gösterdi,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
15 Ağustos 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 50,mavi beyaz renklerinden olusuyor sözde .sarı ve mavi renk ne alaka gercekten? gorsel paylasanlarin da bazilari sari mavi sqnki 30 yil dolapta beklemiste sararmis ayni o sekilde...,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
15 Ağustos 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 50,çok güzel bir elbise,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
13 Ağustos 2024,Boy: 153cm,Kilo: 86kg,Beden: 46,şifonu çok kalın basen ve omuz kısımlarını aşırı iri gösteriyor.Ve 45 yaşın altındaysanız asla almamanızı öneririm 20 yaşandayım üstüme giydiğim anda babanne gibi hissettim kendimi.Hemen iade ettim asla benlik değil,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
13 Ağustos 2024,Boy: 162cm,Kilo: 61kg,Beden: 46,Kalıp olarak geniş ve şişman gösteriyor iade edeceğim,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
03 Ağustos 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 50,Çok tatlı,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
23 Temmuz 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 52,Çok beğendim. Duruşu her şeyiyle çok güzel,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
11 Temmuz 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 42,Elbise cok güzel uçuş uçuş tam yazlık anneme aldık severek giyiyor,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
05 Temmuz 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 46,Elbise o kadar güzel ki kilo falan hiç bişey belli etmiyor kumaşı esnemiyor tam beden alınmalı.,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
30 Haziran 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 44,Bedeni küçük geldi normalde 2x giyiyorum ama bunda olmadı elbise güzel ama yandan gizli fermuarı varmış bilmeden giyince bozuldu malesef,Trendyol Curve Mavi Tropik Yaprak Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154
