Tarih,Boy,Kilo,Beden,Yorum,Ürün Adı
29 Aralık 2024,Boy: 170cm,Kilo: 53kg,Beden: S,"çok güzel çokk. S beden aldım, ince ve uzunsaniz hele çok şık duruyor.",TRENDYOLMİLLA Antrasit Vücuda Oturan Midi Triko Hırka Elbise Takım TWOSS21EL0208
29 Aralık 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: M,kızlar önü aşırı açık m beden almama rağmen ne kadar zayıf olursanız olun dar L alınmalı diye düşünüyorum,TRENDYOLMİLLA Antrasit Vücuda Oturan Midi Triko Hırka Elbise Takım TWOSS21EL0208
12 Aralık 2024,Boy: 165cm,Kilo: 73kg,Beden: L,"Güzel, tam oldu",TRENDYOLMİLLA Antrasit Vücuda Oturan Midi Triko Hırka Elbise Takım TWOSS21EL0208
16 Kasım 2024,Boy: 163cm,Kilo: 80kg,size: M,Elbise çok güzel 40 bedeni olmadığı için 38 almıştım bana dar oldu. o yüzden iade etmek zorunda kaldim,TRENDYOLMİLLA Antrasit Vücuda Oturan Midi Triko Hırka Elbise Takım TWOSS21EL0208
10 Kasım 2024,Boy: 170cm,Kilo: 65kg,size: L,Kumaşı güzel ama kalıbı düdük gibi kızlar. L beden aldım dapdaracık bişey geldi. M giyiyorum normalde dedim ki döküm dursun yapışmasın ama yapıştı. Güzel bir elbise ama bedenine standart yazmaları daha doğru olurdu,TRENDYOLMİLLA Antrasit Vücuda Oturan Midi Triko Hırka Elbise Takım TWOSS21EL0208
30 Ekim 2024,Boy: 157cm,Kilo: 51kg,size: L,"L beden aldım hırkasnın omuzları çok kötü durdu, iade",TRENDYOLMİLLA Antrasit Vücuda Oturan Midi Triko Hırka Elbise Takım TWOSS21EL0208
26 Ekim 2024,Boy: 163cm,Kilo: 58kg,size: M,"163 boyunda 58 kiloyum. S beden tam oldu. Benim için iç göstermemesi önemliydi, göstermiyor 👍🏼",TRENDYOLMİLLA Antrasit Vücuda Oturan Midi Triko Hırka Elbise Takım TWOSS21EL0208
09 Mart 2024,Boy: 170cm,Kilo: 46kg,Beden: S,172 boy 48 kilo s beden tam oldu ve harika kalıp gibi bayıldımmmm,TRENDYOLMİLLA Antrasit Vücuda Oturan Midi Triko Hırka Elbise Takım TWOSS21EL0208
11 Mart 2025,Boy: 161cm,Kilo: 60kg,Beden: S,Tam beden çok güzel ve kaliteli,TRENDYOLMİLLA Antrasit Vücuda Oturan Midi Triko Hırka Elbise Takım TWOSS21EL0208
04 Mart 2025,Boy: 163cm,Kilo: 64kg,Beden: S,hediye olarak aldım çok beğenildi,TRENDYOLMİLLA Antrasit Vücuda Oturan Midi Triko Hırka Elbise Takım TWOSS21EL0208
