Tarih,Boy,Kilo,Beden,Yorum,Ürün Adı
08 Şubat 2025,Boy: 163cm,Kilo: 92kg,Beden: 44,1.65 boy 84 kiloyum 44 beden aldım alın mutlaka bayıldım ben tam yazlik,Trendyol Curve Zümrüt Yeşili Çiçekli Gipeli Asimetrik Yaka Balon Kol Dokuma Büyük Beden Elbise TBBSS25AH00027
06 Şubat 2025,Boy: 163cm,Kilo: 98kg,Beden: 44,modeli güzel ama renk pek begenemdim o yüzden iade,Trendyol Curve Zümrüt Yeşili Çiçekli Gipeli Asimetrik Yaka Balon Kol Dokuma Büyük Beden Elbise TBBSS25AH00027
03 Şubat 2025,Boy: 160cm,Kilo: 130kg,Beden: 50,"Elbise harika, çok rahat. 160 boy 140 kilo 50 beden aldım. Gayet rahat oldu. Elbiseyle ilgili tek sorun yazıldığı gibi zümrüt yeşili olmaması. Elbise de ki renk aslında lacivert. Benim için sorun değil çok beğendim. Ama bilmenizi isterim. Büyük bedenseniz harika bir yazlık elbise.",Trendyol Curve Zümrüt Yeşili Çiçekli Gipeli Asimetrik Yaka Balon Kol Dokuma Büyük Beden Elbise TBBSS25AH00027
02 Şubat 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 52,urun gerçekten çok güzel bayildimmm kollari o gogus lastiği uzunluğu gerçekten çok iyiii aşırı sevdimm alin aldırın derim bende kıvırcık hemşire sayesinde gördüm ve aldimm mukoo diyebilirimmm💝💝💝,Trendyol Curve Zümrüt Yeşili Çiçekli Gipeli Asimetrik Yaka Balon Kol Dokuma Büyük Beden Elbise TBBSS25AH00027
11 Mart 2025,Boy: 160cm,Kilo: 80kg,Beden: 46,"Harika bir elbise , çok şık Ben çok sevdim . Tam beden alınabilir .",Trendyol Curve Zümrüt Yeşili Çiçekli Gipeli Asimetrik Yaka Balon Kol Dokuma Büyük Beden Elbise TBBSS25AH00027
10 Mart 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 52,BEĞENDİM. BİRAZ BÜYÜK GELDİ BİR BEDEN KÜÇÜĞÜ DAHA İYİ DURURDU AMA YİNE DE DEĞİŞTİRMEYECEĞİM.,Trendyol Curve Zümrüt Yeşili Çiçekli Gipeli Asimetrik Yaka Balon Kol Dokuma Büyük Beden Elbise TBBSS25AH00027
16 Şubat 2025,Boy: 166cm,Kilo: 105kg,Beden: 50,cok güzel asimetrik olan kol düşüyor bant ile yapistirarak kullanırsanız super olur,Trendyol Curve Zümrüt Yeşili Çiçekli Gipeli Asimetrik Yaka Balon Kol Dokuma Büyük Beden Elbise TBBSS25AH00027
13 Şubat 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 50,ilk çıktığında gözüme kestirmistm tam bedenimi aldm çokta gzl oldu başka renkleri çıksa alicam,Trendyol Curve Zümrüt Yeşili Çiçekli Gipeli Asimetrik Yaka Balon Kol Dokuma Büyük Beden Elbise TBBSS25AH00027
01 Mart 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 42,Süper kumaşı renkleri harika,Trendyol Curve Zümrüt Yeşili Çiçekli Gipeli Asimetrik Yaka Balon Kol Dokuma Büyük Beden Elbise TBBSS25AH00027
28 Şubat 2025,Boy: 159cm,Kilo: 85kg,Beden: 46,Elbise güzel ama yakası sanki modeli öyle değilde dikim hatası yapılmış gibi duruyor. Eğer yakası normal kesim olsaydı çok beğenmiştim,Trendyol Curve Zümrüt Yeşili Çiçekli Gipeli Asimetrik Yaka Balon Kol Dokuma Büyük Beden Elbise TBBSS25AH00027
26 Şubat 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 48,Harikaa bir ürün iç göstermiyor kesinlikle kendi bedeninizi alın,Trendyol Curve Zümrüt Yeşili Çiçekli Gipeli Asimetrik Yaka Balon Kol Dokuma Büyük Beden Elbise TBBSS25AH00027
26 Şubat 2025,Boy: 160cm,Kilo: 115kg,Beden: 48,Yaka duruşunu çok sevdim güzel elbise,Trendyol Curve Zümrüt Yeşili Çiçekli Gipeli Asimetrik Yaka Balon Kol Dokuma Büyük Beden Elbise TBBSS25AH00027
24 Şubat 2025,Boy: 170cm,Kilo: 110kg,Beden: 50,Aşırı güzel ben çok beğendim tam gerçekten böyle göğüsten lastikli elbiseler konusunda milla çok iyi,Trendyol Curve Zümrüt Yeşili Çiçekli Gipeli Asimetrik Yaka Balon Kol Dokuma Büyük Beden Elbise TBBSS25AH00027
20 Şubat 2025,Boy: 179cm,Kilo: 98kg,Beden: 46,Boyunuz uzun ise 175 be üstünde baya kısa kalıyor tavsiye etmem ben sevmedim yakası da mankendeki kadar düzgün durmuyor,Trendyol Curve Zümrüt Yeşili Çiçekli Gipeli Asimetrik Yaka Balon Kol Dokuma Büyük Beden Elbise TBBSS25AH00027
23 Şubat 2025,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 44,Ürün mükemmel her yönüyle harika,Trendyol Curve Zümrüt Yeşili Çiçekli Gipeli Asimetrik Yaka Balon Kol Dokuma Büyük Beden Elbise TBBSS25AH00027
16 Ocak 2025,Boy: 185cm,Kilo: 111kg,Beden: XL,yaz mevsimine çok uygun bir elbise değil kumasi kalın ve polyester. Ama duruşu harika çok rahat bir elbise,Trendyol Curve Siyah Düğme Detaylı Midi Fitilli Örme Elbise TBBSS24AH00176
25 Aralık 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,İyi beğendim,Trendyol Curve Siyah Düğme Detaylı Midi Fitilli Örme Elbise TBBSS24AH00176
26 Ağustos 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 3XL,resmen resimdeki gibi bir değişiklik yok üstüme tam oldu 1.65 boy 108 kilo 3xl aldım biraz bol oldu ama tam istediğim gibi minnoş bir elbise,Trendyol Curve Siyah Düğme Detaylı Midi Fitilli Örme Elbise TBBSS24AH00176
26 Ağustos 2024,Boy: 160cm,Kilo: 75kg,Beden: 2XL,"Elbisenin kumaşını çok beğendim çok şık bir elbise. normalde xl almıştım göğüs kısmım büyük olduğu için 2Xl almıştım, boyum 1.60 75 kiloyum büyük geldi. boyu dizlerimin altında oldu. kendi bedeninizi alın",Trendyol Curve Siyah Düğme Detaylı Midi Fitilli Örme Elbise TBBSS24AH00176
24 Ağustos 2024,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 4XL,Çok güzel elbise ben çok beğendim tam beden,Trendyol Curve Siyah Düğme Detaylı Midi Fitilli Örme Elbise TBBSS24AH00176
13 Haziran 2024,Boy: 170cm,Kilo: 83kg,Beden: XL,Çok güzel şık kaliteli çok beğendim,Trendyol Curve Siyah Düğme Detaylı Midi Fitilli Örme Elbise TBBSS24AH00176
